Replicate,Row,Column,GenotypeID,DaysToPollen,DaysToSilk,RootLodgingPct,StalkLodgingPct,LeafAngle,PoorGerm,PotentialPollenContamination,EarsPerPlant,CobWeightGrams,HundredKernelMassGrams,GrainPercentMoisture,EarLengthCM,EarWidthCM,EarFilledLengthCM,KernelRowNumber,KernelsPerRow,PercentFill,SouthernRustSeverityScore,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,TillersPerPlant,ExtantLeafNumber2,BranchesPerTassel,TasselLengthCM,BranchZoneLengthCM,TasselSpikeLengthCM,TotalGrainMassGrams
1,1,1,B97,72,77,0,0,24.5,N,N,1,17.08,29.33,8.1,14.33,4.25,13.83,14.33,25.67,96.5,2,3.48,70.5,9.75,202,12.5,2,0,16,12.33,32.6,8.4,24.2,664.9
1,1,2,NS501,67,68,0,0,?,N,Y,1,8.85,22.41,8.6,13.67,3.83,11.83,12.67,26.5,86.5,2,4.19,73.5,7.05,185.5,13,1.67,0,13,14,27.37,10.4,16.97,532.5
1,1,3,LH59,71,73,0,0,18.3,N,N,1,12.86,23.56,8.4,19.17,3.83,16.17,11.67,41.83,84.4,1,3.82,74.5,9.1,175.5,12.5,2,0,9.67,5.33,31.9,6.07,25.83,836.2
1,1,4,PHRE1,63,62,0,0,39.4,Y,N,1,13.95,26.2,8.3,13,4,12.83,15,24.83,98.7,2,3.75,64.65,7.35,147,11.5,2,0,13,3,28.27,4.2,24.07,568.7
1,1,5,PHR63,73,78,0,0,18.5,N,N,1,16.2,23.04,8.6,14,4,14,14.67,28.67,100,1,4.26,72.7,9.65,159,11,1,0,14.67,5.33,34.87,8.63,26.23,613.9
1,1,6,LH74,71,69,0,0,16.8,N,N,1,12.42,20.6,?,14.67,3.83,13.75,14.33,30,93.7,1,4.31,78.9,7.55,174.5,12,1,0,12.33,5,27.7,5.97,21.73,574.2
1,1,7,R227,77,81,50,0,21.3,N,N,1,18.28,27.46,?,15.17,3.83,10.83,13.67,20.5,71.4,0,5.12,95.25,10.2,214,13.5,1,0,16.67,7.67,30.7,11.6,19.1,420.9
1,1,8,Pa405,69,72,0,0,15.3,Y,N,1,8.96,19.18,?,12.5,3.67,12.08,13.67,28.17,96.6,1,4.21,78.35,7.5,187.5,12,1,0,14,14.67,25.93,10.6,15.33,416.2
1,1,9,B85,69,71,2,0,20.6,N,Y,1,19.18,25.39,7.6,12.33,3.92,11.92,15.75,25.5,96.7,1,3.12,81.5,9,190,10,2,0,12,12.33,35.57,13.57,22,560.2
1,1,10,B97,72,76,0,0,34,N,N,1,16.2,33.84,8.7,13.92,4.17,13.75,13,26.17,98.8,2,3.73,66.95,11.55,187,13,1.67,0,16,14.33,33.13,9.37,23.77,675
1,1,11,A508,62,61,4,0,26.4,N,N,0.875,24.44,21.84,?,12.25,4,10.58,14.83,22.83,86.4,?,3.12,77.5,7,171,11,1.33,0.33,12.67,6.67,32.67,5.77,26.9,353.6
1,1,12,B97,73,75,0,0,26.4,N,Y,1,15.68,31.85,8.5,12.92,4.08,12.92,13,24.17,100,2,3.96,72,9.75,194,12.5,1,0,11.67,13.67,31.6,8.57,23.03,676.9
1,1,13,N7A,75,78,0,0,34.7,N,N,1,12.36,32.46,9.1,12.08,4.58,9.75,14,19,80.7,2,4.39,82.5,7.7,187,13,1,0,16,11.67,27.9,8.03,19.87,579.6
1,1,14,Mo3,81,83,0,0,32.4,N,N,1,16.26,20.17,9.1,14.5,3.83,8.08,15.67,21.5,55.7,1,4.35,91,7.7,246,16.5,1.67,0,15.67,19.33,33.3,11.47,21.83,321.7
1,1,15,B97,71,75,0,0,40.7,N,N,1,15.17,27.55,8.7,13.83,4,13.83,13,27.5,100,2,4.73,74,9.85,194.5,12,1.33,0,15.33,14.67,144.67,9.47,135.2,629
1,1,16,6M502A,73,76,0,0,27.9,N,N,1,16.57,24.26,8.8,14.58,4.17,14.08,16.67,26.67,96.6,1,5.26,78.75,9.85,176,12,2,0,14.67,11.33,39.8,10.43,29.37,559.2
1,1,17,A15,59,61,0,100,?,N,N,1,10.33,15.14,?,9.5,3.67,8.58,16,19.67,90.3,?,3.73,63.75,7.35,167.5,9.5,0,0,11.67,7.33,31.73,7.93,23.8,304.2
1,1,18,B97,73,76,100,0,38.3,N,Y,1,17.6,27.36,8.7,14.33,4,14.33,13.67,29.33,100,3,3.95,72.25,8.55,190,8.5,2,0,15,12.67,33.67,9.83,23.83,729.6
1,1,19,CO245,60,61,0,100,?,N,N,1,7.6,20.74,?,14.33,3.33,12.67,10.83,22.5,88.4,?,2.34,63.5,7.45,151,8,0.33,0,10,10.67,33.03,11.57,21.47,303.3
1,1,20,K64,79,79,100,0,24.4,N,N,1,17.16,25.65,8.5,13.25,4.25,12.33,13.67,27.33,93.1,0,?,90,8.15,?,?,1.33,0,16.33,13,32.4,8.47,23.93,658.2
1,1,21,SD15,69,71,100,0,?,N,N,1,16.73,23.11,9,13.92,4.25,12.04,15.67,23.75,86.5,1,4.56,75,9.75,203,13,1.67,0,15.67,7,26.17,3.8,22.37,678.7
1,1,22,LH260,71,71,80,0,16.6,N,Y,1.125,7.81,29.17,8.4,11.5,3.75,10.08,11,17.17,87.7,2,3.2,92,11.1,?,?,1.33,0,14.33,4.33,30.73,6.7,24.03,339.1
1,1,23,CO106,63,65,100,0,28.4,N,N,0.625,11.03,21.54,?,9,4,8,14,17.2,88.9,?,?,63,8.25,151.5,11.5,0.67,0,13,16.67,29.2,10.1,19.1,208.1
1,1,24,B68,76,81,50,0,29.1,N,N,1,13.22,26.68,?,14.5,3.92,11,13.33,15.67,75.9,1,4.5,92.5,6.45,205,14,1,0,15.33,9.33,29.37,8.57,20.8,256.5
1,1,25,NS701,75,77,25,0,28.7,N,N,1,15.8,26.78,8.4,15.67,4.33,14.92,13.17,31.67,95.2,0,5.32,81,7,205,14,1.33,0,14.67,7,29.73,9.83,19.9,768.9
1,1,26,CML_323,81,86,100,0,15.7,N,N,1,16.99,23.05,8.3,12.5,3.83,11.83,12.33,20.5,94.6,1,4.28,?,?,165,14.5,2.67,0,15.33,6,35.5,9.33,26.17,336.3
1,1,27,DKMM402A,72,77,100,0,23.8,N,Y,1,11.1,28.47,7.6,12.67,4.17,12.08,15,20,95.3,1,4.93,74.25,7.2,165,11.5,1,0,14.33,0.33,25.9,0,25.9,439.2
1,1,28,W8555,76,77,0,0,16.9,N,N,1,15.75,19.31,8.7,13.33,4.17,12.67,17,31,95,1,4.09,91,7.15,216.5,14,1.33,0,16.33,8,29,8.73,20.27,726
1,2,1,DE3,71,73,0,0,16.8,N,N,1,11.46,25.37,8.2,12.17,4.08,11.42,15,23.67,93.8,1,3.36,60.5,8.5,180,14,1,0,15.33,5.67,26.53,4.4,22.13,526.5
1,2,2,PHR31,71,73,0,0,21.4,N,N,1,15.99,27.82,8.1,17.25,4.25,15.83,15.33,32.5,91.8,2,3.29,83,9.25,191,13,1.33,0,15.67,10.67,38.5,10.1,28.4,818.4
1,2,3,DK78010,69,71,0,0,18.5,N,N,1,16.61,29.07,8.6,12.5,4.58,10.83,15.67,20.17,86.6,3,3.44,80,7.5,164.5,13,1,0,15.33,7,28.23,7.47,20.77,608
1,2,4,LH222,66,64,0,0,?,N,N,1,12.69,29.57,7.8,15.17,3.92,13.67,13.33,30.33,90.1,3,3.36,73.5,7.15,144,12,2.33,0.33,14,4.67,26.83,4.23,22.6,580.2
1,2,6,GE129,77,83,0,90,24.5,N,N,1,11.95,32.04,?,10.42,3.83,8.83,11.67,15.17,84.7,1,4.69,70.75,8.1,204.5,15,1.67,0,16.67,22.33,33.07,16.07,17,268.5
1,2,7,CL27,57,59,100,0,?,N,N,0.625,10.9,21.08,?,10,3.2,8.4,10.6,17.6,84,?,3.21,61.75,8.2,144.5,9,0.33,0,11,8.33,30.9,7.87,23.03,108.7
1,2,8,NORTH_7,69,71,100,0,22.2,N,N,1,12.16,18.92,?,12.83,3.92,10.83,15.33,27.33,84.4,0,3.64,77.5,8.45,174.5,11,1.33,0,13.33,11.67,27,7,20,496.6
1,2,9,78551S,69,69,0,0,51.6,N,N,1,18.23,32.93,8.8,18.75,4.33,17.42,12.33,30.67,92.9,0,?,83.15,9.1,186,11.5,2,0,15,8.33,39.53,9.37,30.17,834.1
1,2,10,Sg_18,75,76,0,90,43.8,N,N,1.375,11.69,12.91,7.3,13.58,3.33,11.75,18,27.67,86.5,2,3.98,88,6.15,204.5,13.5,1,0,15,7,35.67,9.07,26.6,555
1,2,11,H124w,76,76,0,0,22.6,N,N,1,12.62,30.06,?,11.75,4.17,11.08,14,21.83,94.3,3,4.26,87,7.95,199.5,14,1.67,0,15.33,9,35.2,10.43,24.77,468.8
1,2,12,B73,75,76,0,25,14,N,N,1,19.3,19.66,8.5,14.08,4.5,12.58,17.67,30,89.3,1,4.21,84,8.45,205.5,13.5,1.67,0,16,8.33,28.2,9.83,18.37,701.2
1,2,13,F2834T,76,78,0,50,22.9,N,N,1,11.38,31.07,8.4,14.83,3.75,14,11.67,24.17,94.4,3,4,90,7.6,169.5,14,1,0,14,14,48.7,13.07,35.63,505.8
1,2,14,CSJ3,56,59,0,50,?,N,N,0.625,6.57,22.6,?,9.9,3.4,8.6,12,17.6,86.9,?,2.98,70.25,6.05,104.5,9.5,0.33,0,11,10,37.8,6.63,31.17,173.6
1,2,15,Yong_28,75,77,80,0,22.7,N,N,1.5,17.97,28.26,8,15.33,4.17,13.92,15,22.33,90.8,1,?,78.5,7.75,188,14,1,0,16,38,37.27,24.93,12.33,683.5
1,2,16,W810G,73,76,50,0,22.1,N,N,1,15.26,24.03,?,14.58,3.58,11.83,13.33,25,81.1,0,3.35,82.25,8.35,176,11.5,1,0,12.67,10,40.43,8.43,32,323.3
1,2,17,INBRED_309,73,81,0,0,13.4,N,N,1,10.19,18.67,?,13.42,3.75,11.33,17.5,27.5,84.4,2,3.71,87.25,8.3,171,11,1.33,0,14.33,23.67,32.97,10.57,22.4,493.8
1,2,18,B97,72,77,0,75,33.5,N,N,1,16.07,27.72,8.7,13.92,4.08,13.75,13.33,26.67,98.8,3,?,73.5,9.75,185,11.5,1.67,0,12.33,12.67,32.53,9.97,22.57,656
1,2,19,FR19,69,71,0,50,61.7,N,N,1,13.14,17.7,8.4,15,3.75,12.67,16.5,31.33,84.5,2,4.63,73.75,10,194.5,12.5,1.33,0,15.67,10,30.4,7.03,23.37,477.1
1,2,20,NC294,77,81,0,0,27,N,N,1,13.11,22.48,8.5,14.58,4,12.92,15.33,27.33,88.6,1,4.82,76.75,8.6,227.5,15.5,1.33,0,19,6,24.23,6.67,17.57,622.3
1,2,21,PHT10,75,76,80,0,20.4,N,N,1,14.46,24.86,8.7,16.17,4,15,15.67,28,92.8,2,4.17,77.25,7.75,206,13.5,1,0,13.67,7.33,30.57,9.13,21.43,669.2
1,2,22,A239,71,71,100,0,37.8,N,N,1,12.29,25.96,8.6,13.5,4,12.08,13.33,23.17,89.5,0,4.67,82,9,185.5,12.5,1.33,0,13,5.33,33.33,8.13,25.2,541
1,2,23,A415-1-3_INBRED,77,77,100,0,25.8,N,N,0.875,11.42,29.18,?,13.92,3.25,12.08,12.33,19.5,86.8,0,?,82.5,8.15,246,15.5,3.33,0,17.67,23,36.87,9.8,27.07,255
1,2,24,Seagull_Seventeen,72,77,0,0,35.2,N,N,1,12.47,31.92,8.7,19,3.92,18.08,10.33,33,95.2,2,?,71,8.95,189.5,11,1,0,14.67,5.67,39.03,7.67,31.37,693.4
1,2,25,MS116,66,72,0,0,?,N,N,1,10.69,19.42,?,11.08,4,10.5,15.5,23.33,94.8,?,4.1,76.25,9.75,190,11,0.67,0,13.33,12,30.17,6.37,23.8,358.7
1,2,26,DKMBZA,75,78,100,0,19.8,N,N,1,12.39,22.01,8.6,16.25,4.08,15.17,14.33,33.67,93.4,2,4.71,88,8.2,141,12,0.67,0,13.33,9,39.3,8.53,30.77,707.7
1,2,27,N501,68,72,50,0,35.4,N,N,0.875,8.32,35.43,?,6.5,3.75,5.67,13,8.67,87.2,3,4.22,84.5,9.85,177.5,12,2,0,15,7.67,36.63,8.9,27.73,112.1
1,2,28,Pa392,66,71,50,0,35.8,N,N,1,13.12,20.25,8.3,13.42,3.92,12.67,13.67,31,94.4,2,4.68,88.75,8.75,173.5,11.5,1.33,0,13,13.33,32.6,11,21.6,566.6
1,3,1,K150,71,77,0,50,28.4,N,Y,1.125,18.04,33.58,?,12.08,4.42,11.17,13.5,21.33,92.5,1,4.56,79.75,9.4,198.5,13,1.33,0,15.67,19.67,35.5,13.67,21.83,510
1,3,2,I29,66,68,0,90,?,N,N,1,15.09,11.78,?,12.5,3.5,10.83,16.67,23.5,86.6,?,3,75.25,8,139.5,11,2.33,0.33,13,11.33,32.43,9.67,22.77,310.5
1,3,3,A635,66,68,0,0,?,N,N,1,11.1,19.33,9.4,12.92,3.83,11.75,14.5,26.17,90.9,?,3.68,80,6.75,149,14,1.33,0,16,11.33,30.03,7.1,22.93,475.8
1,3,4,W182E,65,67,0,100,?,N,N,1,9.53,20.24,9.4,11.75,4,11,14,21.5,93.6,?,3.14,64.25,9.9,143,12,1.67,0,13.67,12,31.03,10.67,20.37,417.8
1,3,5,N192,67,68,0,0,19,N,N,1,17.98,26.11,8.4,14.83,3.83,12.92,15.17,22.5,87.1,3,3.56,77,8.2,159,12,3,0.67,15,6.33,28.1,7.17,20.93,749.6
1,3,6,DK8M116,76,78,0,0,25,N,N,1,14.47,23.41,8.9,16.17,3.92,14.5,15.5,30.83,89.7,2,4.23,98,9.5,207.5,13.5,1.33,0,15.67,6.67,37.4,10.77,26.63,659.4
1,3,7,T232,77,78,100,0,17.2,N,N,1,8.36,39.51,?,11.25,2.92,7.5,8.67,7.5,66.7,2.5,?,82,8.1,210,13,1,0,14,19.67,30.23,12.8,17.43,149.3
1,3,8,L_139,68,68,0,0,26.8,N,N,1,14.21,30.58,9.1,13.33,4.08,10.83,16,18.67,81.2,2.5,3.77,80,7.9,187,11.5,3,0,14.67,4,33.4,6.1,27.3,715.7
1,3,9,B97,71,73,100,0,29.8,N,N,1,17.32,29.7,9,13.83,4.08,13.5,13,26.5,97.6,4,3.35,77,9.8,181,12.5,1.33,0,15.67,15,35.3,10.97,24.33,754.4
1,3,10,DE2,73,77,0,0,15.2,N,N,1,24.56,29.23,9.1,13.33,4.92,12.75,16,22.83,95.6,3.5,4.03,73.25,10.15,178,11.5,1,0,13,17,36.23,11.43,24.8,692.8
1,3,11,B97,71,75,5,0,28.6,N,N,1,15.9,26.57,9.4,14.5,4.33,14.5,13.33,28.5,100,3,3.81,70.75,10.1,186.5,12,1.33,0,15.33,14.33,35.07,10.9,24.17,663.2
1,3,12,S_56,57,60,100,0,?,N,N,1,8.9,26.42,?,11.92,3.5,11.58,11.33,19.5,97.1,?,2.97,76.5,7,116,9,0.67,0,9,4.33,30.7,4.9,25.8,351.2
1,3,13,CI_91B,75,77,100,0,31,N,N,1,18.38,22.27,8.4,16.83,3.92,15.67,13.67,30.33,93.1,2,3.03,70.5,8.95,165.5,12.5,1.67,0,15.33,9,35.83,6.63,29.2,828.4
1,3,14,911,64,66,0,0,29.7,N,N,1,12.09,23.13,9.1,11.75,4.42,10.92,16.67,21.33,92.9,2.5,4.1,69.25,8.75,150.5,12,2,0,13.33,10.67,30.5,11.57,18.93,591.4
1,3,16,EP1,61,63,100,0,?,N,N,1,10.68,25.46,?,11.58,3.5,10.92,12.5,17.67,94.3,?,3.07,56.5,9.65,130.5,11,1,0,12.33,15,30.87,10.3,20.57,328.3
1,3,18,B106,71,76,0,50,22.7,N,N,1,14.38,22.11,8.9,14.83,3.25,14.58,10.33,34.17,98.3,1,3.24,76.5,7.65,206,12.5,0.67,0,14,8.67,31.6,8.7,22.9,603.3
1,3,19,B97,71,77,80,20,26.1,N,N,1,17.66,29.5,8.9,14.42,4.33,14.42,13.33,27,100,2.5,?,76.25,9.3,195,12,1.33,0,15.33,12.67,34.87,9.17,25.7,788.9
1,3,20,YING-55,66,71,0,75,35.7,N,N,1,12.81,29.11,9.7,13,4.5,13,13.67,24.17,100,3,4.3,85.25,9.55,184.5,11.5,1.33,0,14.33,16.33,36.4,11.17,25.23,653.8
1,3,21,MBST,71,72,0,50,25.4,N,N,1,12.83,23.46,9.2,15.5,3.58,15.08,13.67,31.5,97.3,2,4.53,84.5,7.9,178.5,11.5,1.5,1,15,4.5,33.55,5.95,27.6,711.5
1,3,22,CML_154Q,82,83,0,90,24,N,N,1,26.79,17.38,8.5,16.58,4.17,14.5,15.67,28.5,87.5,0,4.36,94.75,7.95,202.5,15,1,0,15.33,12.33,39.47,7.5,31.97,573.9
1,3,23,A321,69,71,0,5,18.3,N,N,1,12.29,26.39,7.9,14,3.83,13.5,15,26.17,96.4,0,3.74,77.25,9.25,166.5,11,0.33,0,14.33,8.67,27.5,6.33,21.17,607.3
1,3,24,H114,73,73,0,90,25.7,N,N,1,12.98,28.07,8.5,10,3.75,9.83,13.67,21.67,98.3,4,4.31,66.75,8.4,158.5,13,1,0,16,5,27.57,3.3,24.27,499.6
1,3,25,INBRED_100,79,86,100,0,27.3,N,N,1,11.19,27.58,8.5,10.08,3.83,8.58,15.5,18.83,85.1,0.5,?,73.75,9.15,221.5,17,1.67,0,18.33,13.33,25.47,7.67,17.8,604
1,3,26,J47,75,78,100,0,28.4,N,N,1,18.55,18.1,?,12.75,3.5,11.92,14.67,27,93.5,4,?,89.75,7,?,13,2.33,0,15,9.33,39.33,7.8,31.53,479.5
1,3,27,NC364,73,76,100,0,15.9,N,N,1,10.16,16.6,?,11.25,3.42,11.08,15.67,23.83,98.5,3,?,81,7.1,156.5,13,1,0,16,9.67,30.3,9.17,21.13,422.4
1,3,28,87916W,75,78,0,0,16,N,N,0.875,11.46,24.57,9.4,12.83,3.58,12.75,13.5,28,99.4,2.5,4.9,71.5,8.15,199,13,1.33,0,14,6.33,22.37,8.03,14.33,567.9
1,4,1,PHZ51,71,72,0,0,20.6,N,N,1,19.68,26.24,?,12.92,3.33,11.92,13.67,22.5,92.3,2,3.48,75.1,8.7,198,14,1,0,17.67,12.33,34.17,11.83,22.33,541.7
1,4,2,S8324,65,67,0,0,19,N,N,1,9.39,28.6,8.8,9.92,3.75,9.75,16,19.83,98.3,4,3.05,71.15,8.55,164,11,2,0,13,10.67,21.67,8.83,12.83,573.8
1,4,3,A627,67,71,100,0,21.9,N,N,1.125,10.6,16.68,8.5,12,3.42,11.08,13.17,29.33,92.3,4,3.84,76.95,7.3,177.5,11.5,0,0,14.33,24,27.17,10.5,16.67,526.1
1,4,4,MEF156-55-2,62,63,100,0,?,N,N,0.75,4.12,21.63,?,8.75,2.17,6,8.67,5.5,68.6,?,?,64.85,7.45,160,12.5,1,0,13.33,12,29,7.83,21.17,51
1,4,5,F42,67,67,0,0,17.9,N,N,1,17.92,20.07,8.9,12,4.08,11.42,17.67,25,95.2,2.5,3.9,78,8.45,186.5,11.5,2,0,12,7,30.17,8.17,22,758.5
1,4,6,CML_322,85,86,0,0,36.5,N,N,1,18.24,19.24,8.2,13.42,3.75,12.5,17.67,26.5,93.1,0,4.23,86,9.7,200.5,16,3,0,15.67,20.33,33.7,12.7,21,548.7
1,4,8,NK794,69,69,0,0,33.2,N,N,1,15.44,24.95,9.3,13.25,3.5,12.17,13,30,91.8,3,4.6,86,9.7,163,12,1.33,0,14,6.33,26.83,7.67,19.17,608.7
1,4,9,DKFBHJ,71,71,5,0,61.2,N,N,1,11.03,32.19,?,11.42,3.33,10.17,11.83,17.33,89.1,0.5,3.02,87.6,6.85,209.5,13,2,0,15.67,8,31.83,8.83,23,490.1
1,4,10,INBRED_321,77,79,100,0,38.5,N,N,1.125,9.54,22.42,?,11.08,3.25,10.08,12.83,20,91,2.5,?,77.5,7.35,?,13,2,0,17.33,7,34.63,7.67,26.97,399.5
1,4,11,CH157,65,66,100,0,?,N,N,1,15.23,21.76,8.1,14.42,3.58,14,14.17,31.67,97.1,1.5,?,82.35,8.5,181,12,1,0,14.33,15.33,30,11.33,18.67,717.7
1,4,12,DKNL001,71,71,0,0,13.9,N,Y,1,14.07,23.7,8.8,12.75,3.83,11.83,13.67,26.17,92.8,2,3.51,74.5,7.25,175,13,2,0,15.67,5,25.5,6.5,19,604.1
1,4,14,LH39,69,69,0,25,?,N,N,1,17.15,17.46,9.2,15.33,3.5,14.42,14,31.33,94.1,?,3.76,77.25,8.3,166.5,12,2,0,13.33,8.67,32.67,9.17,23.5,532.9
1,4,15,LH212Ht,73,73,0,100,22.7,N,N,1.375,14.37,19.3,9,12.67,3.58,12.17,14.67,25.33,96.1,4,4.04,83,7.9,192.5,12.5,0.67,0,15.33,4.67,34,5.67,28.33,620
1,4,16,NC348,77,77,100,0,17,N,N,1,9.85,30.49,8.7,13.75,3,13.08,10,19.83,95.1,0,4.58,74.5,8.1,196.5,14.5,0.67,0.33,18,10.67,31.2,10.5,20.7,335.6
1,4,17,L317,77,83,0,85,25.1,N,N,1,16.84,23.76,8.4,17.25,3.5,13.58,14,20,78.7,3.5,3.4,74.25,9.75,246.5,14,1,0,14.33,13.33,34.17,11.2,22.97,386.7
1,4,18,B97,73,77,90,0,32.5,N,N,1,17.91,28.14,8.7,13.58,3.67,13.5,14.17,25.67,99.4,3.5,3.06,73,10.25,195,12,2,0.33,14.33,15.67,35,10,25,677.1
1,4,19,B97,71,77,100,0,31.5,N,N,1,17.81,29.37,8.6,13.42,3.67,13.42,13.33,24.33,100,3,4,71.5,10.75,183,12,2,0,14.33,14.33,35,10,25,746.7
1,4,20,Mt42,61,63,0,100,?,N,Y,1,6.67,13.42,?,11.25,3,10.5,12.5,23.83,93.3,?,3.44,64.8,8.5,138,10,0.67,0,11.33,8.67,23.67,7.33,16.33,258.9
1,4,21,L_135,65,66,0,0,29.5,N,N,1,10.68,22.49,8.6,13.17,3.5,12.75,12.67,28,96.8,2.5,3.27,75.05,8.3,153,10.5,0.67,0,12.67,14.33,31.33,15,16.33,553.3
1,4,22,W819G,73,77,0,0,18.3,N,N,1,14.16,22.87,8.5,14.58,3.83,14.25,17,26.33,97.7,3.5,3.84,94.75,7.65,207.5,13.5,1.67,0,13.33,5,34,9.97,24.03,658.4
1,4,23,B97,71,76,100,0,29.6,N,N,1,16.3,28.22,8.8,13.75,3.83,13.67,14.33,27.17,99.4,3,3.16,70,9.6,185.5,12,1.67,0.33,14.33,14.33,33.5,11.17,22.33,679.8
1,4,24,PHP76,69,71,0,0,32.8,N,N,1,16.1,20.49,8.7,15.17,3.5,14.17,14.67,27.33,93.4,4,4.2,77.5,7.8,167.5,12.5,2,0,15,10.67,35,10.17,24.83,647
1,4,26,INBRED_109,77,79,0,100,47.1,N,N,1,7.64,25.61,?,11.58,3.33,11.08,12.33,23.83,95.7,0,3.32,99.75,7.7,182.5,12,0.67,0,15,13,39.37,16.13,23.23,464.9
1,4,27,ND167,60,61,100,0,?,N,N,0.625,8.14,11.36,?,11.2,3.1,10.8,13.6,20.6,96.4,?,?,52,5.7,108.5,8.5,0.33,0,10.67,15,26.17,7.5,18.67,134
1,4,28,LH216,75,77,0,0,33.6,N,N,1,11.21,32.08,8.7,17.42,3.5,17.25,10.33,28.83,99,3.5,?,75,8.25,177.5,12,2,0,14.67,7,35.83,8.33,27.5,663.9
1,5,1,LH132,71,72,0,0,21.2,N,N,1,14.6,22.91,7.9,13.92,4.25,12.83,16,27,92.2,2,4.36,84.75,8,176,13.5,2,0,15.67,7.67,32.83,9.67,23.17,649.6
1,5,2,PHH93,66,71,0,0,19,N,Y,1.125,11.87,27.27,8.7,12.17,4,11.42,14.17,21.17,93.8,2.5,3.69,82.5,7.35,176,11.5,1.33,0,13.67,15.33,28.33,11.67,16.67,612.5
1,5,3,4N506,73,73,100,0,45,N,N,1,18.84,26.66,8.1,15.42,4.25,14.83,13.83,30.5,96.2,2.5,4.38,74.75,7.95,217.5,16,2.33,0,16.67,5.33,30.67,9.33,21.33,779.2
1,5,4,W603S,69,73,0,0,19.8,N,N,1,17.83,21.42,8.6,15.42,4,15,12.17,34.33,97.3,2.5,3.97,82.75,8.4,172.5,11,1.67,0,13,5.67,38.67,9.67,29,556.2
1,5,5,B97,71,76,100,0,37,N,N,0.875,18.31,28.61,8.3,14.5,4.25,14.42,13.67,27.5,99.4,3,3.74,82,9.05,183.5,13,1.67,0,14.33,17.67,31.67,10.33,21.33,668.4
1,5,6,Mo16W,79,81,100,0,21.7,N,N,1,30.53,33.04,?,9.25,5.25,7.33,15.33,9.17,79.2,2,3.41,97,7.9,194.5,17,1.33,0,17,9,32,10.57,21.43,192.9
1,5,8,B97,71,75,100,0,35.9,N,Y,1,18.43,30.22,8.7,14,4.5,13.83,14,26.5,98.8,2,?,76,9.7,173.5,12,2,0,15,13.33,35.33,11.67,23.67,739.5
1,5,9,PHR62,69,72,0,0,30,N,N,1,27.62,25.33,7.7,15.67,4.75,15.25,15.5,31.67,97.3,2.5,3.45,79.25,8.9,197.5,13,1.67,0,15.33,11.67,38.5,13.83,24.67,890.8
1,5,10,SD42,70,72,100,0,?,N,N,0.875,26.86,26.81,?,10.92,4,10.67,15.17,18.17,97.7,1.5,?,80.75,9.5,161.5,13,1.67,0,15.67,17.67,38.83,12.67,26.17,206.7
1,5,11,NQ402,67,71,0,0,33.5,N,N,1,19.99,30.03,9.3,14.25,4.42,13.58,13,26.33,95.3,?,3.85,75.75,7.5,204.5,13,2,1,14.67,6.67,37.67,12.83,24.83,749.3
1,5,12,R101,71,76,0,80,40.5,N,N,1,20.89,27.98,?,13.58,4,12.33,13.33,19.83,90.8,?,3.65,75,8.15,189,13.5,1.33,0,15,11.67,32.33,9.33,23,377.5
1,5,13,B54,69,73,0,95,31.8,Y,N,1.125,16.33,29.77,?,14.5,3.83,12.08,11,14.17,83.3,1,?,63.25,6.85,167.5,12,1.67,0,13.67,8,40.33,11,29.33,298
1,5,14,B97,72,77,0,100,30,N,Y,1,18.07,28.18,8.5,14,4.08,13.67,13.67,27.5,97.6,2,3.72,70.75,10.55,182,12.5,1.67,0,14.33,14.33,35.67,9.67,26,679.1
1,5,16,PHP85,75,76,0,0,27.1,N,N,1,16.9,30.71,9,15.17,4.33,14.33,13,27.17,94.5,2,3.85,87,8.6,190.5,14,1.67,0,15,5.67,36.33,9.33,27,818.5
1,5,17,YE-CHI-HUNG,68,71,100,0,?,N,Y,1,11.54,17.22,?,13.08,3.83,12.75,13.33,27.33,97.5,?,3.39,79,6.8,206.5,14,2.33,0,15.67,14.33,38,13.67,24.33,404.6
1,5,18,B64,76,78,0,0,28.1,N,N,1,18.47,28.58,?,16,3.75,14.17,13,23,88.6,2.5,3.8,90.75,6.95,180,14.5,0.67,0,16.67,8,40.33,10.67,29.67,460.4
1,5,19,NC230,79,79,0,0,17.6,N,N,1,11.19,17.78,?,11.58,3.83,10.92,15,27,94.3,0.5,5.07,71.5,10.65,162.5,15.5,1.33,0,18,11.33,29.7,11.3,18.4,408.8
1,5,21,W815G,75,77,0,0,26.4,N,N,1,11.13,33.86,8.5,13.42,4.08,12.92,12.33,20.5,96.3,1,3.37,73.25,8.65,232,13,1.33,0,15,5,32.33,6.47,25.87,585.4
1,5,22,DK3IIH6,67,68,0,0,19.5,N,N,1,8.5,20.31,9.5,14.58,3.92,14.17,15.5,26.67,97.2,2.5,4.71,76.25,7.6,175.5,12,2,0,15.67,12,34,11.17,22.83,631
1,5,23,PHM57,79,79,0,0,24.9,N,N,1,18.37,22.6,8.3,16,4,15.58,13.33,29.17,97.4,2,4.6,82.75,10.15,191.5,14,0.67,0,16.33,7.33,35.7,9.03,26.67,583.8
